Journal_Name,year,e_issn,policy,policy_year,Field,All_Fields,JCR_Abbrev,sum_bar,sum_inf,sum_eligible,n_bar_or_informative,sum_only_bar,sum_only_inf,sum_bar_and_inf,n_articles,p_bar,p_informative,p_eligible,p_only_bar,p_only_inf,p_bar_and_inf
Acta Neuropathologica,2020,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,32,58,68,68,10,36,22,83,0.4705882352941176,0.8529411764705882,0.8192771084337349,0.1470588235294117,0.5294117647058824,0.3235294117647059
Acta Neuropathologica,2021,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,31,67,73,73,6,42,25,87,0.4246575342465753,0.9178082191780822,0.8390804597701149,0.0821917808219178,0.5753424657534246,0.3424657534246575
Acta Neuropathologica,2022,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,24,61,65,65,4,41,20,77,0.3692307692307692,0.9384615384615383,0.8441558441558441,0.0615384615384615,0.6307692307692307,0.3076923076923077
Acta Neuropathologica,2023,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,25,64,68,68,4,43,21,84,0.3676470588235294,0.9411764705882352,0.8095238095238095,0.0588235294117647,0.6323529411764706,0.3088235294117647
Acta Neuropathologica,2024,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,28,102,108,108,6,80,22,128,0.2592592592592592,0.9444444444444444,0.84375,0.0555555555555555,0.7407407407407407,0.2037037037037037
Acta Neuropathologica,2025,1432-0533,0,,Neurosciences,Clinical Neurology; Neurosciences; Pathology,ACTA NEUROPATHOL,25,78,83,83,5,58,20,94,0.3012048192771084,0.9397590361445785,0.8829787234042553,0.0602409638554216,0.6987951807228916,0.2409638554216867
Acta Pharmacologica Sinica,2010,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,139,27,141,141,114,2,25,171,0.9858156028368794,0.1914893617021276,0.8245614035087719,0.8085106382978723,0.0141843971631205,0.1773049645390071
Acta Pharmacologica Sinica,2011,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,123,17,125,125,108,2,15,155,0.984,0.136,0.8064516129032258,0.864,0.016,0.12
Acta Pharmacologica Sinica,2012,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,113,22,123,123,101,10,12,152,0.91869918699187,0.1788617886178861,0.8092105263157895,0.8211382113821138,0.08130081300813,0.0975609756097561
Acta Pharmacologica Sinica,2013,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,119,29,124,124,95,5,24,143,0.9596774193548387,0.2338709677419354,0.8671328671328671,0.7661290322580645,0.0403225806451612,0.1935483870967742
Acta Pharmacologica Sinica,2014,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,132,23,133,133,110,1,22,149,0.9924812030075189,0.1729323308270676,0.8926174496644296,0.8270676691729323,0.0075187969924812,0.1654135338345864
Acta Pharmacologica Sinica,2015,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,89,22,95,95,73,6,16,119,0.936842105263158,0.231578947368421,0.7983193277310925,0.7684210526315789,0.0631578947368421,0.1684210526315789
Acta Pharmacologica Sinica,2016,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,119,34,124,124,90,5,29,138,0.9596774193548387,0.2741935483870967,0.8985507246376812,0.7258064516129032,0.0403225806451612,0.2338709677419354
Acta Pharmacologica Sinica,2017,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,111,28,113,113,85,2,26,127,0.9823008849557522,0.247787610619469,0.889763779527559,0.7522123893805309,0.0176991150442477,0.2300884955752212
Acta Pharmacologica Sinica,2018,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,122,37,130,130,93,8,29,142,0.9384615384615383,0.2846153846153846,0.9154929577464788,0.7153846153846154,0.0615384615384615,0.2230769230769231
Acta Pharmacologica Sinica,2019,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,127,51,133,133,82,6,45,148,0.9548872180451128,0.3834586466165413,0.8986486486486487,0.6165413533834586,0.0451127819548872,0.3383458646616541
Acta Pharmacologica Sinica,2020,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,112,35,115,115,80,3,32,127,0.9739130434782608,0.3043478260869565,0.905511811023622,0.6956521739130435,0.0260869565217391,0.2782608695652174
Acta Pharmacologica Sinica,2021,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,155,77,169,169,92,14,63,175,0.9171597633136096,0.4556213017751479,0.9657142857142856,0.5443786982248521,0.0828402366863905,0.3727810650887574
Acta Pharmacologica Sinica,2022,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,172,144,215,215,71,43,101,224,0.8,0.6697674418604651,0.9598214285714286,0.3302325581395349,0.2,0.4697674418604651
Acta Pharmacologica Sinica,2023,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,113,132,173,173,41,60,72,179,0.653179190751445,0.7630057803468208,0.9664804469273744,0.2369942196531791,0.3468208092485549,0.4161849710982659
Acta Pharmacologica Sinica,2024,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,94,145,167,167,22,73,72,171,0.562874251497006,0.8682634730538922,0.9766081871345028,0.1317365269461078,0.437125748502994,0.4311377245508982
Acta Pharmacologica Sinica,2025,1745-7254,1,2013,Pharmacology & Pharmacy,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",ACTA PHARMACOL SIN,124,198,228,228,30,104,94,239,0.543859649122807,0.868421052631579,0.9539748953974896,0.131578947368421,0.4561403508771929,0.4122807017543859
Acta Physiologica,2010,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,57,12,63,63,51,6,6,82,0.9047619047619048,0.1904761904761904,0.7682926829268293,0.8095238095238095,0.0952380952380952,0.0952380952380952
Acta Physiologica,2011,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,68,12,71,71,59,3,9,86,0.9577464788732394,0.1690140845070422,0.8255813953488372,0.8309859154929577,0.0422535211267605,0.1267605633802817
Acta Physiologica,2012,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,59,7,60,60,53,1,6,81,0.9833333333333332,0.1166666666666666,0.7407407407407407,0.8833333333333333,0.0166666666666666,0.1
Acta Physiologica,2013,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,68,8,69,69,61,1,7,85,0.9855072463768116,0.1159420289855072,0.8117647058823529,0.8840579710144928,0.0144927536231884,0.1014492753623188
Acta Physiologica,2014,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,97,19,101,101,82,4,15,113,0.9603960396039604,0.1881188118811881,0.8938053097345132,0.8118811881188119,0.0396039603960396,0.1485148514851485
Acta Physiologica,2015,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,66,17,68,68,51,2,15,75,0.9705882352941176,0.25,0.9066666666666666,0.75,0.0294117647058823,0.2205882352941176
Acta Physiologica,2016,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,47,5,48,48,43,1,4,54,0.9791666666666666,0.1041666666666666,0.8888888888888888,0.8958333333333334,0.0208333333333333,0.0833333333333333
Acta Physiologica,2017,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,56,17,61,61,44,5,12,66,0.918032786885246,0.2786885245901639,0.9242424242424242,0.7213114754098361,0.081967213114754,0.1967213114754098
Acta Physiologica,2018,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,68,25,77,77,52,9,16,83,0.8831168831168831,0.3246753246753247,0.927710843373494,0.6753246753246753,0.1168831168831168,0.2077922077922078
Acta Physiologica,2019,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,61,31,75,75,44,14,17,80,0.8133333333333334,0.4133333333333333,0.9375,0.5866666666666667,0.1866666666666666,0.2266666666666666
Acta Physiologica,2020,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,44,33,57,57,24,13,20,59,0.7719298245614035,0.5789473684210527,0.9661016949152542,0.4210526315789473,0.2280701754385964,0.3508771929824561
Acta Physiologica,2021,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,47,56,75,75,19,28,28,77,0.6266666666666667,0.7466666666666667,0.974025974025974,0.2533333333333333,0.3733333333333333,0.3733333333333333
Acta Physiologica,2022,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,32,45,55,55,10,23,22,57,0.5818181818181818,0.8181818181818182,0.9649122807017544,0.1818181818181818,0.4181818181818181,0.4
Acta Physiologica,2023,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,23,40,48,48,8,25,15,53,0.4791666666666667,0.8333333333333334,0.9056603773584906,0.1666666666666666,0.5208333333333334,0.3125
Acta Physiologica,2024,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,31,67,79,79,12,48,19,86,0.3924050632911392,0.8481012658227848,0.9186046511627908,0.1518987341772152,0.6075949367088608,0.240506329113924
Acta Physiologica,2025,1748-1716,0,,Physiology,Physiology,ACTA PHYSIOL,26,68,73,73,5,47,21,80,0.3561643835616438,0.9315068493150684,0.9125,0.0684931506849315,0.6438356164383562,0.2876712328767123
Aging Male,2010,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,8,3,11,11,8,3,0,33,0.7272727272727273,0.2727272727272727,0.3333333333333333,0.7272727272727273,0.2727272727272727,0.0
Aging Male,2011,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,7,6,11,11,5,4,2,37,0.6363636363636364,0.5454545454545454,0.2972972972972973,0.4545454545454545,0.3636363636363636,0.1818181818181818
Aging Male,2012,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,9,7,14,14,7,5,2,39,0.6428571428571429,0.5,0.358974358974359,0.5,0.3571428571428571,0.1428571428571428
Aging Male,2013,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,4,4,8,8,4,4,0,26,0.5,0.5,0.3076923076923077,0.5,0.5,0.0
Aging Male,2014,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,9,2,11,11,9,2,0,36,0.8181818181818182,0.1818181818181818,0.3055555555555556,0.8181818181818182,0.1818181818181818,0.0
Aging Male,2015,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,13,3,14,14,11,1,2,37,0.9285714285714286,0.2142857142857142,0.3783783783783784,0.7857142857142857,0.0714285714285714,0.1428571428571428
Aging Male,2016,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,5,1,5,5,4,0,1,36,1.0,0.2,0.1388888888888889,0.8,0.0,0.2
Aging Male,2017,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,7,2,9,9,7,2,0,34,0.7777777777777778,0.2222222222222222,0.2647058823529412,0.7777777777777778,0.2222222222222222,0.0
Aging Male,2018,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,7,2,9,9,7,2,0,37,0.7777777777777778,0.2222222222222222,0.2432432432432432,0.7777777777777778,0.2222222222222222,0.0
Aging Male,2019,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,2,3,5,5,2,3,0,24,0.4,0.6,0.2083333333333333,0.4,0.6,0.0
Aging Male,2020,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,24,14,34,34,20,10,4,175,0.7058823529411765,0.4117647058823529,0.1942857142857142,0.5882352941176471,0.2941176470588235,0.1176470588235294
Aging Male,2021,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,1,2,3,3,1,2,0,15,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.6666666666666666,0.0
Aging Male,2022,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,1,4,5,5,1,4,0,23,0.2,0.8,0.217391304347826,0.2,0.8,0.0
Aging Male,2023,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,4,2,6,6,4,2,0,24,0.6666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.0
Aging Male,2024,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,2,5,7,7,2,5,0,30,0.2857142857142857,0.7142857142857143,0.2333333333333333,0.2857142857142857,0.7142857142857143,0.0
Aging Male,2025,1473-0790,0,,Urology & Nephrology,Endocrinology & Metabolism; Urology & Nephrology,AGING MALE,7,3,9,9,6,2,1,42,0.7777777777777778,0.3333333333333333,0.2142857142857142,0.6666666666666666,0.2222222222222222,0.1111111111111111
Alimentary Pharmacology & Therapeutics,2010,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,31,36,63,63,27,32,4,207,0.492063492063492,0.5714285714285714,0.3043478260869565,0.4285714285714285,0.5079365079365079,0.0634920634920634
Alimentary Pharmacology & Therapeutics,2011,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,39,35,71,71,36,32,3,178,0.5492957746478874,0.4929577464788732,0.398876404494382,0.5070422535211268,0.4507042253521127,0.0422535211267605
Alimentary Pharmacology & Therapeutics,2012,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,31,32,60,60,28,29,3,173,0.5166666666666667,0.5333333333333333,0.3468208092485549,0.4666666666666667,0.4833333333333333,0.05
Alimentary Pharmacology & Therapeutics,2013,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,24,30,50,50,20,26,4,157,0.48,0.6,0.3184713375796178,0.4,0.52,0.08
Alimentary Pharmacology & Therapeutics,2014,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,23,29,46,46,17,23,6,145,0.5,0.6304347826086957,0.3172413793103448,0.3695652173913043,0.5,0.1304347826086956
Alimentary Pharmacology & Therapeutics,2015,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,23,48,62,62,14,39,9,152,0.3709677419354839,0.7741935483870968,0.4078947368421052,0.2258064516129032,0.6290322580645161,0.1451612903225806
Alimentary Pharmacology & Therapeutics,2016,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,27,54,73,73,19,46,8,153,0.3698630136986301,0.7397260273972602,0.477124183006536,0.2602739726027397,0.6301369863013698,0.1095890410958904
Alimentary Pharmacology & Therapeutics,2017,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,17,41,54,54,13,37,4,163,0.3148148148148148,0.7592592592592593,0.3312883435582822,0.2407407407407407,0.6851851851851852,0.074074074074074
Alimentary Pharmacology & Therapeutics,2018,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,30,44,61,61,17,31,13,188,0.4918032786885246,0.7213114754098361,0.324468085106383,0.2786885245901639,0.5081967213114754,0.2131147540983606
Alimentary Pharmacology & Therapeutics,2019,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,22,36,51,51,15,29,7,168,0.4313725490196078,0.7058823529411765,0.3035714285714285,0.2941176470588235,0.5686274509803921,0.1372549019607843
Alimentary Pharmacology & Therapeutics,2020,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,27,39,59,59,20,32,7,169,0.4576271186440678,0.6610169491525424,0.3491124260355029,0.3389830508474576,0.5423728813559322,0.1186440677966101
Alimentary Pharmacology & Therapeutics,2021,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,12,34,44,44,10,32,2,146,0.2727272727272727,0.7727272727272727,0.3013698630136986,0.2272727272727272,0.7272727272727273,0.0454545454545454
Alimentary Pharmacology & Therapeutics,2022,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,17,38,49,49,11,32,6,158,0.3469387755102041,0.7755102040816326,0.310126582278481,0.2244897959183673,0.6530612244897959,0.1224489795918367
Alimentary Pharmacology & Therapeutics,2023,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,18,39,50,50,11,32,7,138,0.36,0.78,0.3623188405797101,0.22,0.64,0.14
Alimentary Pharmacology & Therapeutics,2024,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,22,34,51,51,17,29,5,153,0.4313725490196078,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5686274509803921,0.0980392156862745
Alimentary Pharmacology & Therapeutics,2025,1365-2036,0,,Pharmacology & Pharmacy,Gastroenterology & Hepatology; Pharmacology & Pharmacy,ALIMENT PHARM THER,22,40,57,57,17,35,5,194,0.3859649122807017,0.7017543859649122,0.2938144329896907,0.2982456140350877,0.6140350877192983,0.087719298245614
American Journal of Cardiovascular Drugs,2010,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,6,1,7,7,6,1,0,22,0.8571428571428571,0.1428571428571428,0.3181818181818182,0.8571428571428571,0.1428571428571428,0.0
American Journal of Cardiovascular Drugs,2011,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,2,1,3,3,2,1,0,16,0.6666666666666666,0.3333333333333333,0.1875,0.6666666666666666,0.3333333333333333,0.0
American Journal of Cardiovascular Drugs,2012,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,8,2,9,9,7,1,1,19,0.8888888888888888,0.2222222222222222,0.4736842105263157,0.7777777777777778,0.1111111111111111,0.1111111111111111
American Journal of Cardiovascular Drugs,2013,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,5,1,6,6,5,1,0,20,0.8333333333333334,0.1666666666666666,0.3,0.8333333333333334,0.1666666666666666,0.0
American Journal of Cardiovascular Drugs,2014,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,3,2,5,5,3,2,0,17,0.6,0.4,0.2941176470588235,0.6,0.4,0.0
American Journal of Cardiovascular Drugs,2015,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,0,3,3,3,0,3,0,13,0.0,1.0,0.2307692307692307,0.0,1.0,0.0
American Journal of Cardiovascular Drugs,2016,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,2,3,4,4,1,2,1,14,0.5,0.75,0.2857142857142857,0.25,0.5,0.25
American Journal of Cardiovascular Drugs,2017,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,1,2,2,2,0,1,1,15,0.5,1.0,0.1333333333333333,0.0,0.5,0.5
American Journal of Cardiovascular Drugs,2018,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,4,3,5,5,2,1,2,23,0.8,0.6,0.217391304347826,0.4,0.2,0.4
American Journal of Cardiovascular Drugs,2019,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,2,5,7,7,2,5,0,28,0.2857142857142857,0.7142857142857143,0.25,0.2857142857142857,0.7142857142857143,0.0
American Journal of Cardiovascular Drugs,2020,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,1,2,3,3,1,2,0,25,0.3333333333333333,0.6666666666666666,0.12,0.3333333333333333,0.6666666666666666,0.0
American Journal of Cardiovascular Drugs,2021,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,5,6,9,9,3,4,2,23,0.5555555555555556,0.6666666666666666,0.391304347826087,0.3333333333333333,0.4444444444444444,0.2222222222222222
American Journal of Cardiovascular Drugs,2022,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,1,4,5,5,1,4,0,24,0.2,0.8,0.2083333333333333,0.2,0.8,0.0
American Journal of Cardiovascular Drugs,2023,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,3,3,6,6,3,3,0,29,0.5,0.5,0.2068965517241379,0.5,0.5,0.0
American Journal of Cardiovascular Drugs,2024,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,1,2,3,3,1,2,0,19,0.3333333333333333,0.6666666666666666,0.1578947368421052,0.3333333333333333,0.6666666666666666,0.0
American Journal of Cardiovascular Drugs,2025,1179-187X,0,,Cardiac & Cardiovascular Systems,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,AM J CARDIOVASC DRUG,2,5,7,7,2,5,0,24,0.2857142857142857,0.7142857142857143,0.2916666666666667,0.2857142857142857,0.7142857142857143,0.0
American Journal of Human Genetics,2010,1537-6605,0,,Genetics & Heredity,Genetics & Heredity,AM J HUM GENET,50,27,70,70,43,20,7,173,0.7142857142857143,0.3857142857142857,0.4046242774566474,0.6142857142857143,0.2857142857142857,0.1
American Journal of Human Genetics,2011,1537-6605,0,,Genetics & Heredity,Genetics & Heredity,AM J HUM GENET,49,11,58,58,47,9,2,124,0.8448275862068966,0.1896551724137931,0.4677419354838709,0.8103448275862069,0.1551724137931034,0.0344827586206896
American Journal of Human Genetics,2012,1537-6605,0,,Genetics & Heredity,Genetics & Heredity,AM J HUM GENET,60,33,83,83,50,23,10,174,0.7228915662650602,0.3975903614457831,0.4770114942528735,0.6024096385542169,0.2771084337349397,0.1204819277108433
American Journal of Human Genetics,2013,1537-6605,0,,Genetics & Heredity,Genetics & Heredity,AM J HUM GENET,81,36,101,101,65,20,16,184,0.801980198019802,0.3564356435643564,0.5489130434782609,0.6435643564356436,0.198019801980198,0.1584158415841584
American Journal of Human Genetics,2014,1537-6605,0,,Genetics & Heredity,Genetics & Heredity,AM J HUM GENET,52,35,72,72,37,20,15,133,0.7222222222222222,0.4861111111111111,0.5413533834586466,0.5138888888888888,0.2777777777777778,0.2083333333333333
